magnitude,depth,cdi,mmi,sig,alert
0.23809523809523814,0.017964071856287428,0.8888888888888888,0.75,0.5019607843137255,green
0.1904761904761907,0.0344311377245509,0.4444444444444444,0.375,0.37254901960784315,green
0.23809523809523814,0.8637724550898205,0.3333333333333333,0.25,0.45098039215686275,green
0.38095238095238093,0.05239520958083833,0.5555555555555556,0.5,0.7568627450980392,green
0.04761904761904745,0.9311377245508983,0.0,0.125,0.11764705882352944,green
0.23809523809523814,0.9850299401197605,0.4444444444444444,0.25,0.45098039215686275,green
0.1428571428571428,0.940119760479042,0.1111111111111111,0.25,0.2784313725490196,green
0.09523809523809534,0.02694610778443114,0.7777777777777777,0.625,0.615686274509804,green
0.1428571428571428,0.02694610778443114,0.8888888888888888,0.75,0.10588235294117648,yellow
0.5238095238095237,0.03592814371257485,1.0,0.875,0.5294117647058824,yellow
0.1904761904761907,0.011976047904191617,1.0,1.0,0.9686274509803922,yellow
0.0,0.011976047904191617,0.7777777777777777,0.75,0.4549019607843137,green
0.23809523809523814,0.20209580838323354,0.7777777777777777,0.5,0.4745098039215686,green
0.5238095238095237,0.17065868263473055,0.8888888888888888,0.875,0.27058823529411763,yellow
0.04761904761904745,0.014970059880239524,1.0,0.875,0.5764705882352941,orange
0.04761904761904745,0.041916167664670656,0.7777777777777777,0.625,0.12549019607843137,green
0.23809523809523814,0.04640718562874251,1.0,0.875,0.7803921568627451,yellow
0.0,0.9281437125748504,0.3333333333333333,0.125,0.05098039215686273,green
0.3333333333333335,0.3502994011976048,0.7777777777777777,0.5,0.9254901960784314,green
0.1904761904761907,0.011976047904191617,0.2222222222222222,0.5,0.36470588235294116,green
0.1428571428571428,0.3263473053892216,0.6666666666666666,0.5,0.4784313725490196,green
0.04761904761904745,0.0374251497005988,0.6666666666666666,0.5,0.4784313725490196,green
0.23809523809523814,0.011976047904191617,0.6666666666666666,0.375,0.4823529411764706,green
0.1904761904761907,0.011976047904191617,0.6666666666666666,0.375,0.38431372549019605,green
0.09523809523809534,0.03293413173652695,0.8888888888888888,0.75,0.6509803921568628,green
0.38095238095238093,0.058383233532934134,1.0,0.875,0.8666666666666667,red
0.09523809523809534,0.038922155688622756,1.0,0.625,0.26666666666666666,green
0.04761904761904745,0.03293413173652695,0.2222222222222222,0.75,0.11764705882352944,green
0.1428571428571428,0.7979041916167665,0.2222222222222222,0.25,0.2823529411764706,green
0.0,0.16167664670658685,0.8888888888888888,0.625,0.196078431372549,green
0.0,0.008982035928143714,0.7777777777777777,0.375,0.0431372549019608,green
0.04761904761904745,0.04640718562874251,0.8888888888888888,0.625,0.5686274509803921,green
0.04761904761904745,0.02544910179640719,0.8888888888888888,0.5,0.1333333333333333,green
0.1428571428571428,0.02694610778443114,0.7777777777777777,0.625,0.3529411764705882,green
0.04761904761904745,0.028443113772455095,0.6666666666666666,0.625,0.3137254901960784,green
0.04761904761904745,0.016467065868263474,1.0,0.875,0.4549019607843137,orange
0.38095238095238093,0.2440119760479042,0.8888888888888888,0.75,0.0980392156862745,green
0.38095238095238093,0.017964071856287428,1.0,0.5,0.8392156862745098,green
